--- 0 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,88.98
MD_02,99.92
MD_03,94.85
MD_04,94.40
MD_05,84.56
AVERAGE,92.54
STANDARD DEVIATION,5.91


--- 1 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,8.15
MD_02,0.06
MD_03,5.05
MD_04,4.51
MD_05,13.28
AVERAGE,6.21
STANDARD DEVIATION,4.89


--- 2 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,2.68
MD_02,0.01
MD_03,0.10
MD_04,1.04
MD_05,2.11
AVERAGE,1.19
STANDARD DEVIATION,1.19


--- 3 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.19
MD_02,0.00
MD_03,0.00
MD_04,0.04
MD_05,0.05
AVERAGE,0.06
STANDARD DEVIATION,0.08


